功能点(tag),Tree,Bytecode,Fast,AOT(IR),Tree位置,Bytecode位置,Fast位置,AOT位置,缺失原因,备注
root,已实现,已实现,已实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,
attribute,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
class_decl,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
interface_decl,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
trait_decl,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
enum_decl,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
struct_decl,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
property_decl,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
property_hook,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
method_decl,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
parameter,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
const_decl,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
global_stmt,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
static_stmt,未实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
go_stmt,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
lock_stmt,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
closure,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
arrow_function,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
anonymous_class,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
list_assignment,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
list_empty,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
if_stmt,已实现,已实现,已实现,已实现,,,,,,
while_stmt,已实现,已实现,已实现,已实现,,,,,,
for_stmt,已实现,已实现,已实现,已实现,,,,,,
for_range_stmt,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
foreach_stmt,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
switch_stmt,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
case,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
default,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
match_expr,已实现,未实现,未实现,已实现,,,,,,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
match_arm,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
try_stmt,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
catch_clause,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
finally_clause,未实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
throw_stmt,已实现,已实现,未实现,已实现,,,,,,fast 未覆盖（compileNode else 静默跳过）
yield_expr,已实现,未实现,未实现,未实现,,,,,AOT IR 生成未覆盖或回退为 const_null,bytecode 未覆盖（visitNode else 静默跳过）; fast 未覆盖（compileNode else 静默跳过）
